,track_name,artist_name,energy,key,speechiness,acousticness,instrumentalness,liveness
0,Shake It,Metro Station,0.955,4,0.0798,0.00221,3.09e-06,0.486
1,Chinese New Year,SALES,0.845,4,0.253,0.759,0.232,0.1
2,Baby I'm Yours,Breakbot,0.792,2,0.0668,0.726,5.83e-06,0.122
3,The Git Up,Blanco Brown,0.678,9,0.109,0.0669,0.0,0.274
4,Say Hey (I Love You),Michael Franti & Spearhead,0.983,5,0.0855,0.038,5.93e-06,0.183
5,Falling for U,Peachy!,0.358,8,0.424,0.743,1.3e-06,0.0813
6,Shooting Stars,Bag Raiders,0.716,11,0.0445,0.0879,0.03,0.0824
7,fast,Sueco,0.503,7,0.22,0.164,0.0132,0.102
8,On A Roll,Ashley O,0.81,5,0.0906,0.077,0.0,0.0523
9,Good Girls Bad Guys,Falling In Reverse,0.948,3,0.122,0.0223,0.0,0.43
10,Just Did a Bad Thing,Bill Wurtz,0.526,1,0.0435,0.00261,0.466,0.113
11,Wait a Minute!,WILLOW,0.705,3,0.0278,0.0371,1.94e-05,0.0943
12,"Spooky, Scary Skeletons",Andrew Gold,0.447,7,0.0461,0.27,3.7e-06,0.335
13,"Livin' in the Sunlight, Lovin' in the Moon Light",Tiny Tim,0.276,4,0.0871,0.911,0.00237,0.484
14,Tell Me Something I Don't Know - Soundtrack,Selena Gomez,0.936,7,0.11,0.0309,0.0,0.12
15,STUPID (feat. Yung Baby Tate),Ashnikko,0.637,2,0.114,0.00459,0.0,0.0778
16,Beef FloMix,Flo Milli,0.575,7,0.221,0.239,0.0,0.293
17,Prom Queen,Beach Bunny,0.797,4,0.0485,0.000391,0.011,0.14
18,Don't Lose Ur Head,SIX,0.605,7,0.357,0.251,0.0,0.132
19,"Legs (From ""RuPaul's Drag Race 8"")",Lucian Piane,0.72,5,0.232,0.00502,6.26e-06,0.543
20,Woah (feat. D3Mstreet),KRYPTO9095,0.522,1,0.43,0.00739,0.0,0.0452
21,Steppin',Supa Dupa Humble,0.58,1,0.104,0.000404,0.0821,0.0714
22,Hungry Hippo,Tierra Whack,0.61,4,0.0488,0.0227,0.00744,0.102
23,I'm Sorry,Swell,0.541,6,0.166,0.0879,0.000119,0.033
24,Vibin',Kesh Kesh,0.805,11,0.154,0.00478,1.09e-06,0.0887
25,Fly Me To The Moon (In Other Words),Frank Sinatra,0.26,7,0.0523,0.453,0.0,0.0621
26,Yellow Hearts,Ant Saunders,0.399,7,0.0745,0.117,0.0,0.0689
27,Old Town Road,Lil Nas X,0.53,1,0.127,0.0578,2.23e-06,0.101
28,I Don't Mind (feat. Juicy J),Usher,0.464,4,0.178,0.205,0.0,0.0902
29,ROXANNE,Arizona Zervas,0.601,6,0.148,0.0522,0.0,0.46
30,American Boy,Estelle,0.729,0,0.326,0.171,0.0,0.07
31,Beggin (original version),Madcon,0.8,4,0.057,0.0271,0.0,0.0648
32,Put Your Head on My Shoulder,Paul Anka,0.433,7,0.0327,0.906,0.0108,0.0774
33,prom dress,mxmtoon,0.674,10,0.0446,0.698,0.0,0.123
34,Criminal,Britney Spears,0.734,7,0.0298,0.0485,0.0,0.183
35,Runway,Stunna Girl,0.912,1,0.474,0.0155,0.0,0.234
36,It's The Hard-Knock Life,Quvenzhané Wallis,0.841,9,0.0924,0.0452,0.0105,0.03
37,Faucet Failure,Ski Mask The Slump God,0.552,10,0.335,0.111,0.0,0.0952
38,Buttercup,Jack Stauber,0.373,7,0.0384,0.723,0.81,0.289
39,Hey Julie! (feat. Lil Yachty),KYLE,0.499,11,0.306,0.0363,3.46e-06,0.129
40,Uno,Ambjaay,0.477,8,0.155,0.000143,0.0,0.133
41,Tunnel of Love,ilyTOMMY,0.636,7,0.0978,0.302,0.498,0.0972
42,Walk Man,Tiny Meat Gang,0.696,4,0.0866,0.331,0.000119,0.121
43,CRACKHEAD,iLOVEFRiDAY,0.419,5,0.478,0.0828,0.00457,0.561
44,Fake ID,Riton,0.862,8,0.0776,0.21,0.0363,0.225
45,Wasabi,Little Mix,0.656,2,0.115,0.00451,0.000854,0.143
46,ALL IN,ZaeHD & CEO,0.394,1,0.407,0.000686,0.0,0.239
47,Lalala,Y2K,0.39,2,0.0846,0.178,0.0,0.137
48,Womp Womp,Valee,0.558,1,0.342,0.066,0.0,0.0745
49,Shop,Toby Fox,0.301,8,0.032,0.984,0.624,0.17
50,How You Feel? (Freestyle) (feat. Lil Yachty & Ski Mask The Slump God),DJ Scheme,0.425,5,0.224,0.0295,0.0,0.106
51,Ghost Duet,Louie Zong,0.234,7,0.0864,0.96,0.861,0.124
52,Boys,Lizzo,0.588,1,0.11,0.00319,0.000162,0.0498
53,Mia Khalifa,iLOVEFRiDAY,0.525,1,0.124,0.255,0.0,0.325
54,Buff Baby,tobi lou,0.765,5,0.0571,0.243,0.0,0.101
55,Marlboro Nights,Lonely God,0.823,2,0.311,0.00237,0.000321,0.332
