,energy,key,speechiness,acousticness,instrumentalness,liveness,popularity
0,0.955,4,0.0798,0.00221,3.09e-06,0.486,1
1,0.845,4,0.253,0.759,0.232,0.1,1
2,0.792,2,0.0668,0.726,5.83e-06,0.122,1
3,0.678,9,0.109,0.0669,0.0,0.274,1
4,0.983,5,0.0855,0.038,5.93e-06,0.183,1
5,0.358,8,0.424,0.743,1.3e-06,0.0813,1
6,0.716,11,0.0445,0.0879,0.03,0.0824,1
7,0.503,7,0.22,0.164,0.0132,0.102,1
8,0.81,5,0.0906,0.077,0.0,0.0523,1
9,0.948,3,0.122,0.0223,0.0,0.43,1
10,0.526,1,0.0435,0.00261,0.466,0.113,1
11,0.705,3,0.0278,0.0371,1.94e-05,0.0943,1
12,0.447,7,0.0461,0.27,3.7e-06,0.335,1
13,0.276,4,0.0871,0.911,0.00237,0.484,1
14,0.936,7,0.11,0.0309,0.0,0.12,1
15,0.637,2,0.114,0.00459,0.0,0.0778,1
16,0.575,7,0.221,0.239,0.0,0.293,1
17,0.797,4,0.0485,0.000391,0.011,0.14,1
18,0.605,7,0.357,0.251,0.0,0.132,1
19,0.72,5,0.232,0.00502,6.26e-06,0.543,1
20,0.522,1,0.43,0.00739,0.0,0.0452,1
21,0.58,1,0.104,0.000404,0.0821,0.0714,1
22,0.61,4,0.0488,0.0227,0.00744,0.102,1
23,0.541,6,0.166,0.0879,0.000119,0.033,1
24,0.805,11,0.154,0.00478,1.09e-06,0.0887,1
25,0.26,7,0.0523,0.453,0.0,0.0621,1
26,0.399,7,0.0745,0.117,0.0,0.0689,1
27,0.53,1,0.127,0.0578,2.23e-06,0.101,1
28,0.464,4,0.178,0.205,0.0,0.0902,1
29,0.601,6,0.148,0.0522,0.0,0.46,1
30,0.729,0,0.326,0.171,0.0,0.07,1
31,0.8,4,0.057,0.0271,0.0,0.0648,1
32,0.433,7,0.0327,0.906,0.0108,0.0774,1
33,0.674,10,0.0446,0.698,0.0,0.123,1
34,0.734,7,0.0298,0.0485,0.0,0.183,1
35,0.912,1,0.474,0.0155,0.0,0.234,1
36,0.841,9,0.0924,0.0452,0.0105,0.03,1
