,energy,key,speechiness,acousticness,instrumentalness,liveness,popularity
0,0.281,0,0.466,0.0048,0.0595,0.122,0
1,0.355,8,0.514,0.573,0.0,0.0735,0
2,0.331,3,0.383,0.865,0.0,0.105,0
3,0.36,4,0.455,0.764,0.0,0.181,0
4,0.275,6,0.694,0.414,0.0,0.0776,0
5,0.269,9,0.46,0.756,0.0,0.0914,0
6,0.235,6,0.507,0.748,0.0,0.116,0
7,0.315,10,0.861,0.445,0.0,0.0863,0
8,0.209,6,0.62,0.367,0.0,0.0632,0
9,0.26,9,0.872,0.87,0.0,0.126,0
10,0.277,1,0.561,0.526,0.0,0.108,0
11,0.348,1,0.36,0.785,1.19e-06,0.106,0
12,0.452,1,0.379,0.338,0.0,0.185,0
13,0.509,1,0.429,0.894,0.0,0.296,0
14,0.421,0,0.362,0.492,0.0,0.117,0
15,0.0198,0,0.265,0.533,0.0,0.0757,0
16,0.394,7,0.294,0.271,0.0,0.123,0
17,0.378,11,0.293,0.669,0.0,0.132,0
18,0.664,4,0.28,0.0153,8.03e-05,0.226,0
19,0.387,4,0.0994,0.339,0.0,0.0943,0
20,0.542,2,0.438,0.0324,0.0,0.304,0
21,0.383,7,0.0667,0.0225,0.0,0.126,0
22,0.566,0,0.0321,0.635,0.0908,0.135,0
23,0.616,2,0.0276,0.167,3.37e-06,0.0763,0
24,0.732,10,0.0542,0.0958,1.23e-06,0.22,0
25,0.539,10,0.0816,0.504,0.000342,0.267,0
26,0.463,5,0.0328,0.0165,0.0,0.262,0
27,0.595,1,0.245,0.201,0.0,0.282,0
28,0.558,4,0.425,0.22,0.0,0.534,0
29,0.716,7,0.0876,0.679,0.0,0.403,0
30,0.52,2,0.427,0.395,0.0,0.284,0
31,0.59,5,0.0607,0.148,0.0,0.517,0
32,0.721,8,0.137,0.603,0.0,0.306,0
33,0.479,10,0.0355,0.495,0.0,0.37,0
34,0.486,1,0.431,0.154,0.0,0.143,0
35,0.399,1,0.377,0.137,0.0,0.119,0
36,0.313,1,0.121,0.263,0.0,0.355,0
37,0.581,0,0.0447,0.00741,4.8e-05,0.0998,0
38,0.505,6,0.187,0.0538,1.79e-06,0.0843,0
39,0.617,7,0.0847,0.704,2.91e-05,0.493,0
40,0.53,10,0.0434,0.0891,1.04e-05,0.117,0
41,0.321,1,0.0936,0.0984,0.0,0.105,0
42,0.225,4,0.0834,0.335,0.0,0.119,0
